order_date,region,channel,product_line,plan_tier,revenue_usd,cost_usd,orders
2026-01-01,US,Direct,Services,0,42670.12,24649.41,22
2026-01-02,US,Marketplace,AddOn,0,15269.26,9357.28,9
2026-01-03,US,Marketplace,Premium,1,78777.77,49244.89,22
2026-01-04,US,Direct,AddOn,1,50601.03,40908.28,25
2026-01-05,APAC,Direct,Core,1,43436.27,27923.79,14
2026-01-06,APAC,Direct,AddOn,0,51764.51,32568.06,32
2026-01-07,APAC,Marketplace,Premium,0,47046.96,35695.87,10
2026-01-08,US,Direct,Core,1,90076.87,69828.47,25
2026-01-09,EU,Partner,Services,0,130749.12,104978.04,50
2026-01-10,US,Marketplace,Premium,0,65699.62,40923.37,18
2026-01-11,EU,Marketplace,Services,0,122222.18,93788.7,22
2026-01-12,LATAM,Partner,Core,0,257168.93,163292.76,44
2026-01-13,LATAM,Partner,AddOn,0,46560.98,34974.14,24
2026-01-14,APAC,Marketplace,AddOn,1,73234.4,60003.52,31
2026-01-15,LATAM,Direct,Core,0,76932.89,58766.07,17
2026-01-16,LATAM,Marketplace,Core,1,139462.68,94328.86,32
2026-01-17,APAC,Marketplace,Core,0,300358.32,226090.82,51
2026-01-18,APAC,Direct,Services,1,64885.24,52396.8,18
2026-01-19,APAC,Marketplace,Premium,0,284387.73,221040.57,63
2026-01-20,EU,Direct,Services,0,262649.04,209871.61,42
2026-01-21,US,Marketplace,Services,1,16136.09,10456.26,9
2026-01-22,APAC,Direct,Core,0,269247.48,153811.5,64
2026-01-23,LATAM,Direct,Premium,0,185949.83,129876.1,50
2026-01-24,APAC,Marketplace,AddOn,0,218522.03,160889.96,42
2026-01-25,APAC,Partner,Services,1,256304.88,149341.45,65
2026-01-26,EU,Direct,Services,0,186110.28,131929.64,45
2026-01-27,US,Direct,Core,0,71984.71,56299.35,12
2026-01-28,US,Marketplace,Premium,1,188634.84,131213.1,50
2026-01-29,LATAM,Direct,AddOn,1,33998.53,24748.39,20
2026-01-30,APAC,Partner,AddOn,1,319038.43,233475.01,63
2026-01-31,US,Direct,AddOn,1,340245.0,209977.85,59
2026-02-01,EU,Marketplace,AddOn,0,76037.03,51318.12,35
2026-02-02,US,Partner,Core,0,318313.66,246924.64,49
2026-02-03,US,Direct,Premium,1,146296.78,114617.03,39
2026-02-04,US,Direct,AddOn,0,83378.44,63509.28,32
2026-02-05,LATAM,Partner,AddOn,1,37509.8,22835.19,17
2026-02-06,US,Marketplace,Core,1,16123.3,10943.41,11
2026-02-07,EU,Direct,Core,0,52244.23,38258.84,12
2026-02-08,EU,Partner,Core,0,195792.82,140429.07,45
2026-02-09,LATAM,Marketplace,Services,1,99740.5,63318.23,21
2026-02-10,APAC,Partner,Premium,1,106402.35,80121.33,37
2026-02-11,US,Direct,AddOn,0,48593.55,33363.79,12
2026-02-12,EU,Partner,Core,0,84023.43,56153.68,31
2026-02-13,APAC,Marketplace,Core,1,87450.42,68831.73,50
2026-02-14,APAC,Direct,Core,0,67332.71,40862.2,25
2026-01-01,APAC,Direct,Services,1,143958.8,112064.44,24
2026-01-02,US,Marketplace,AddOn,1,12187.92,9240.91,10
2026-01-03,APAC,Direct,AddOn,1,53803.72,30685.11,43
2026-01-04,EU,Marketplace,Core,1,185777.24,123735.52,45
2026-01-05,US,Partner,Services,0,201265.28,147760.52,65
2026-01-06,US,Partner,AddOn,0,132995.43,108201.84,23
2026-01-07,EU,Partner,Core,0,335488.05,255388.38,55
2026-01-08,LATAM,Marketplace,Premium,1,96715.53,56016.26,18
2026-01-09,US,Partner,Premium,0,364067.7,234608.06,60
2026-01-10,EU,Direct,Core,0,97013.02,75997.6,33
